Scheme_Category,Date,No_of_Folios,SIP_Contribution_Cr,Redemptions_Cr,Net_Inflows_Cr,Net_AUM_Cr,Average_Net_AUM_Cr
Large Cap Fund,2021-02-01,10453660,3591.47601855,4871.62613788,-1280.15011933,177549.29509903,181667.80161713
Large & Mid Cap Fund,2021-02-01,4930393,1943.09043154,1786.23790722,156.85252432,74937.0016718,74952.15783066
Mid Cap Fund,2021-02-01,6523469,2690.00785824,2789.00322068,-98.99536244,113515.03124229,111990.21265746
Small Cap Fund,2021-02-01,4978320,1587.78328373,2039.36436534,-451.58108161,67763.7994755,66404.5192504
Large Cap Fund,2021-01-01,10376428,3513.96376809,6367.39771564,-2853.43394755,166019.80610017,174416.72043697
Large & Mid Cap Fund,2021-01-01,4883422,1992.70303866,2180.13435965,-187.43132099,68648.73195871,70947.40275602
Mid Cap Fund,2021-01-01,6467362,2503.72180562,3710.05662436,-1206.33481874,102869.20272994,106640.76739043
Small Cap Fund,2021-01-01,4972903,1452.3741713,3024.73233286,-1572.35816156,61157.86625849,63386.07872301
Large Cap Fund,2020-12-01,10299252,3449.52061387,7325.90888062,-3876.38826675,171834.01969807,168881.47958344
Large & Mid Cap Fund,2020-12-01,4836942,1626.64604732,2915.38114313,-1288.73509581,69225.6648539,68210.30052278
Mid Cap Fund,2020-12-01,6426333,2522.70518509,4158.50880187,-1635.80361678,104136.38515554,102770.10904327
Small Cap Fund,2020-12-01,4980371,2445.57970729,3142.01697172,-696.43726443,62633.29186399,60946.53980991
Large Cap Fund,2020-11-01,10316712,2639.07286493,5928.25470488,-3289.18183995,163104.46921752,160127.21098542
Large & Mid Cap Fund,2020-11-01,4834111,1341.83133226,1956.98681822,-615.15548596,66391.80826892,64156.82320998
Mid Cap Fund,2020-11-01,6441713,1798.29532198,3115.44461168,-1317.1492897,100696.95045888,95865.6191646
Small Cap Fund,2020-11-01,4959637,1057.27094629,2088.4975113,-1031.22656501,59209.50689095,56296.50440274
Large Cap Fund,2020-09-01,10379106,2917.87762433,3493.96909025,-576.09146592,145138.96543343,147196.38832326
Large & Mid Cap Fund,2020-09-01,4838346,1853.22210821,1231.74231646,621.47979175,58454.26893363,58316.64025058
Mid Cap Fund,2020-09-01,6511766,1966.27338439,2033.88711069,-67.6137263000001,90415.66878274,89596.57298832
Small Cap Fund,2020-09-01,5078940,1530.99134687,1398.07944969,132.91189718,54056.15971565,53387.56670571
Large Cap Fund,2020-10-01,10393288,3680.26339757,4231.13565238,-550.87225481,148964.2138949,150264.57589839
Large & Mid Cap Fund,2020-10-01,4842392,1626.23713677,1369.49804487,256.7390919,59843.8263002,59766.34059433
Mid Cap Fund,2020-10-01,6488602,1681.62194173,2237.14980065,-555.52785892,90405.80352827,90346.36971968
Small Cap Fund,2020-10-01,5040550,988.38571335,1472.47786254,-484.09214919,53493.43600226,53797.237634
